Datetime,Tweet Id,Text,Username
2022-04-01 07:06:46+00:00,1509789349977915395,"['kasir', 'mesan', 'bayar', 'mbanking', 'bca', 'eror']",professorolaf_
2022-04-01 07:06:39+00:00,1509789322442153984,"['deret', 'menu', 'mewah', 'nan', 'lezat', 'nikah', 'hyun', 'ye', 'jin', 'tigaperiodendasmu', 'ppn', 'shopeeidxstraykids', 'mbanking', 'bca', 'prokes', 'tarawih', 'ngobrol', 'bareng', 'tokoh', 'https']",izlwhd
2022-04-01 07:06:29+00:00,1509789279010291712,"['mbanking', 'bca', 'kpn', 'dipakenya', 'sii', 'ah']",fyhxxn
2022-04-01 07:06:25+00:00,1509789262299901952,"['mbanking', 'bca', 'ga', 'bis', 'buka', 'me', 'directly', 'check', 'twitter', 'aha']",hanagt15
2022-04-01 07:06:03+00:00,1509789171308990465,"['mbanking', 'bca', 'goodlifebca', 'kali', 'klo', 'maintenance', 'jam', 'pocong', 'ya']",Muhammad_Epx
2022-04-01 07:06:00+00:00,1509789157136408578,"['pentes', 'mbanking', 'bca', 'lot', 'ga', 'karuan']",agitadinelas
2022-04-01 07:05:59+00:00,1509789154728882180,"['mbanking', 'bca', 'error', 'tdq', 'uang']",prmiswari
2022-04-01 07:05:55+00:00,1509789135829028867,"['mbanking', 'bca']",shaberriess
2022-04-01 07:05:54+00:00,1509789132792688647,"['mbanking', 'bca', 'knp']",moinindyyyy
2022-04-01 07:05:50+00:00,1509789114962694147,"['mbanking', 'bca', 'knp', 'dahh', 'depo', 'woiii']",ryantopmngks
2022-04-01 07:05:47+00:00,1509789101746126848,"['antik', 'kalahka', 'error', 'ieu', 'mbanking', 'bca']",n0chancetobloom
2022-04-01 07:05:42+00:00,1509789081433042946,"['mbanking', 'bca', 'error', 'error']",ptrgrizelda
2022-04-01 07:05:40+00:00,1509789073149689859,"['ampe', 'trending', 'mbanking', 'bca', 'etdahh', 'gopay', 'ovo', 'kosong', 'gimana', 'gue', 'delivery']",haitanijahh
2022-04-01 07:05:39+00:00,1509789069143785473,"['mbanking', 'bca']",indanasiaa
